Product ID,Period,Variable,Value
23C,Q2 99,x,792686490.0
23C,Q2 99,W,0.0
23C,Q2 99,I,0.0
23C,Q2 99,S,0.0
23C,Q2 99,E,0.0
23C,Q2 99,SSV,0.0
23C,Q3 99,x,9082305300.0
23C,Q3 99,W,135860.96
23C,Q3 99,I,0.0
23C,Q3 99,S,0.0
23C,Q3 99,E,0.0
23C,Q3 99,SSV,0.0
23C,Q4 99,x,4776372700.0
23C,Q4 99,W,71449.105
23C,Q4 99,I,0.0
23C,Q4 99,S,0.0
23C,Q4 99,E,0.0
23C,Q4 99,SSV,0.0
23C,Q1 00,x,10092075000.0
23C,Q1 00,W,150965.97
23C,Q1 00,I,1447298500.0
23C,Q1 00,S,0.0
23C,Q1 00,E,0.0
23C,Q1 00,SSV,1.0
23C,Q2 00,x,11811772000.0
23C,Q2 00,W,176690.68
23C,Q2 00,I,0.0
23C,Q2 00,S,0.0
23C,Q2 00,E,0.0
23C,Q2 00,SSV,0.0
23C,Q3 00,x,14636966000.0
23C,Q3 00,W,218952.37
23C,Q3 00,I,0.0
23C,Q3 00,S,0.0
23C,Q3 00,E,0.0
23C,Q3 00,SSV,0.0
23C,Q4 00,x,5009097100.0
23C,Q4 00,W,74930.398
23C,Q4 00,I,0.0
23C,Q4 00,S,0.0
23C,Q4 00,E,0.0
23C,Q4 00,SSV,0.0
23C,Q1 01,x,3076657100.0
23C,Q1 01,W,46023.293
23C,Q1 01,I,0.0
23C,Q1 01,S,0.0
23C,Q1 01,E,0.0
23C,Q1 01,SSV,0.0
23C,Q2 01,x,6336835900.0
23C,Q2 01,W,94791.86
23C,Q2 01,I,0.0
23C,Q2 01,S,0.0
23C,Q2 01,E,0.0
23C,Q2 01,SSV,0.0
23C,Q3 01,x,4869241700.0
23C,Q3 01,W,72838.321
23C,Q3 01,I,0.0
23C,Q3 01,S,0.0
23C,Q3 01,E,0.0
23C,Q3 01,SSV,0.0
23C,Q4 01,x,2366380400.0
23C,Q4 01,W,0.0
23C,Q4 01,I,0.0
23C,Q4 01,S,0.0
23C,Q4 01,E,0.0
23C,Q4 01,SSV,0.0
23C,Q1 02,x,8886117300.0
23C,Q1 02,W,132926.21
23C,Q1 02,I,0.0
23C,Q1 02,S,0.0
23C,Q1 02,E,0.0
23C,Q1 02,SSV,0.0
23C,Q2 02,x,10960561000.0
23C,Q2 02,W,163957.54
23C,Q2 02,I,0.0
23C,Q2 02,S,0.0
23C,Q2 02,E,0.0
23C,Q2 02,SSV,0.0
23C,Q3 02,x,9553273300.0
23C,Q3 02,W,142906.11
23C,Q3 02,I,0.0
23C,Q3 02,S,0.0
23C,Q3 02,E,0.0
23C,Q3 02,SSV,0.0
23C,Q4 02,x,11416543000.0
23C,Q4 02,W,170778.5
23C,Q4 02,I,0.0
23C,Q4 02,S,0.0
23C,Q4 02,E,0.0
23C,Q4 02,SSV,0.0
23C,Q1 03,x,11288374000.0
23C,Q1 03,W,168861.25
23C,Q1 03,I,0.0
23C,Q1 03,S,0.0
23C,Q1 03,E,0.0
23C,Q1 03,SSV,0.0
23C,Q2 03,x,3736677700.0
23C,Q2 03,W,55896.45
23C,Q2 03,I,0.0
23C,Q2 03,S,0.0
23C,Q2 03,E,0.0
23C,Q2 03,SSV,0.0
23C,Q3 03,x,4331513200.0
23C,Q3 03,W,64794.513
23C,Q3 03,I,0.0
23C,Q3 03,S,0.0
23C,Q3 03,E,0.0
23C,Q3 03,SSV,0.0
23C,Q4 03,x,3669820600.0
23C,Q4 03,W,54896.343
23C,Q4 03,I,0.0
23C,Q4 03,S,0.0
23C,Q4 03,E,0.0
23C,Q4 03,SSV,0.0
